codigo,categoria,pieza,cantidad,largo_mm,ancho_mm,espesor_mm,cantos
H1,Lateral,Lateral_Izq,1,2184.0,600.0,18.0,Cantos frente+arriba+abajo
H2,Lateral,Lateral_Der,1,2184.0,600.0,18.0,Cantos frente+arriba+abajo
H3,Horizontal,Piso_Casco,1,672.0,600.0,18.0,Canto frente
H4,Horizontal,Tapa_Casco,1,672.0,600.0,18.0,Canto frente
H14,Fondo,Fondo_3mm,1,636.0,2184.0,3.0,Sin canto
H15,Regrueso,Liston_Vert_Izq,1,599.0,18.0,18.0,Canto frente
H16,Regrueso,Liston_Vert_Der,1,599.0,18.0,18.0,Canto frente
H5,Horizontal,Piso_Horno,1,636.0,582.0,18.0,Canto frente
H6,Horizontal,Piso_Micro,1,636.0,582.0,18.0,Canto frente
H7,Horizontal,Tapa_Micro,1,636.0,600.0,18.0,Canto frente
H8,Horizontal,Estante_Inferior,1,636.0,600.0,18.0,Canto frente
H9,Frente,Faja_Frontal_50,1,636.0,50.0,18.0,Cantos vistos
H12,Frente,Faja_Frontal_Inferior_50,1,636.0,50.0,18.0,Cantos vistos
H13,Frente,Faja_Frontal_Superior_Micro_50,1,636.0,50.0,18.0,Cantos vistos
H10,Frente,Puerta_Inferior,1,654.0,670.0,18.0,4 cantos
H11,Frente,Puerta_Superior,1,654.0,397.0,18.0,4 cantos
