codigo,categoria,pieza,cantidad,largo_mm,ancho_mm,espesor_mm,cantos,ml_gola,bisagras_cazoleta
BA1,Casco,Lateral_Izq,1,772.0,600.0,18.0,Canto frente,,
BA10,Frente,Frente_Mid,1,903.0,293.0,18.0,4 cantos,,
BA11,Frente,Frente_Bot,1,903.0,293.0,18.0,4 cantos,,
BA12,Herraje,Gola_C_Superior,1,903.0,72.8,26.0,Aluminio,,
BA13,Herraje,Gola_J_Media,1,903.0,48.0,24.4,Aluminio,,
BA14,Cajon,Caja_Mid_Trasera_Caja,2,500.0,180.0,18.0,Sin canto,,
BA14,Cajon,Caja_Mid_Trasera_Caja,2,805.6,180.0,18.0,Sin canto,,
BA14,Cajon,Caja_Mid_Trasera_Caja,1,841.6,500.0,6.0,Sin canto,,
BA15,Cajon,Caja_Bot_Trasera_Caja,2,500.0,180.0,18.0,Sin canto,,
BA15,Cajon,Caja_Bot_Trasera_Caja,2,805.6,180.0,18.0,Sin canto,,
BA15,Cajon,Caja_Bot_Trasera_Caja,1,841.6,500.0,6.0,Sin canto,,
BA2,Casco,Lateral_Der,1,772.0,600.0,18.0,Canto frente,,
BA3,Casco,Piso_Pasante,1,903.0,600.0,18.0,Canto frente,,
BA3L,Herraje,Pata_4,4,80.0,40.0,40.0,PVC/Aluminio,,
BA4,Fondo,Fondo_3mm,1,867.0,772.0,3.0,Sin canto,,
BA5,Casco,Soporte_Superior_Frente,1,867.0,100.0,18.0,4 cantos,,
BA6,Casco,Soporte_Superior_Fondo,1,867.0,100.0,18.0,Canto frente,,
BA9,Frente,Frente_Falso_Sup,1,903.0,139.0,18.0,4 cantos,,
TOTAL,Resumen,Totales_Herrajes,,,,,,0.000,0
