codigo,categoria,pieza,cantidad,largo_mm,ancho_mm,espesor_mm,cantos,ml_gola,bisagras_cazoleta
F1,Casco,Lateral_Izq,1,2180.0,950.0,18.0,Canto frente,,
F10,Estante_Regulable,Estante_Sup_Reg_1,1,692.0,262.0,18.0,Canto frente,,
F11,Estante_Regulable,Estante_Sup_Reg_2,1,692.0,262.0,18.0,Canto frente,,
F12,Frente,Puerta_Mod_Izq,1,877.0,369.0,18.0,4 cantos,,
F13,Frente,Puerta_Mod_Der,1,877.0,369.0,18.0,4 cantos,,
F14,Regrueso,Regrueso_Vis_Izq,1,2162.0,282.0,18.0,Crudo (cinta 36mm en obra),,
F15,Regrueso,Regrueso_Vis_Der,1,2162.0,282.0,18.0,Crudo (cinta 36mm en obra),,
F16,Estante_Regulable,Regrueso_Front_Estante_Sup_1,1,692.0,50.0,18.0,Crudo (cinta 36mm en obra),,
F17,Estante_Regulable,Regrueso_Front_Estante_Sup_2,1,692.0,50.0,18.0,Crudo (cinta 36mm en obra),,
F2,Casco,Lateral_Der,1,2180.0,950.0,18.0,Canto frente,,
F20,Regrueso,Regrueso_Sobre_F9,1,708.0,50.0,18.0,Crudo (cinta 36mm en obra),,
F26,Estante_Regulable,Techo_Modulo_Estantes,1,950.0,780.0,18.0,Canto frente,,
F3,Casco,Piso_Modular,1,744.0,300.0,18.0,Canto frente,,
F3L,Herraje,Pata_1,1,80.0,40.0,40.0,PVC/Aluminio,,
F3L,Herraje,Pata_2,1,80.0,40.0,40.0,PVC/Aluminio,,
F3L,Herraje,Pata_3,1,80.0,40.0,40.0,PVC/Aluminio,,
F3L,Herraje,Pata_4,1,80.0,40.0,40.0,PVC/Aluminio,,
F3L,Herraje,Pata_5,1,80.0,40.0,40.0,PVC/Aluminio,,
F5,Division,Panel_Divisor_Prof,1,2180.0,744.0,18.0,Canto frente,,
F6,Casco,Techo_Heladera_1800,1,740.0,650.0,18.0,Sin canto,,
F7,Estante_Regulable,Estante_Bajo_Reg,1,708.0,282.0,18.0,Canto frente,,
F9,Estante_Regulable,Estante_Fijo_Interior,1,708.0,282.0,18.0,Canto frente,,
TOTAL,Resumen,Totales_Herrajes,,,,,,0.000,0
